,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
2717,5-year-old girl forms unbreakable bond with a duck,love_including_like,"[[""unbreakable bond with a duck""]]",unbreakable bond with a duck,8,14,6
2729,'ma’amageddon': secret plans for queen's nuclear address revealed,negative_surprise,"[[""secret plans for queen's nuclear address revealed""]]",secret plans for queen's nuclear address revealed,9,17,8
235,trump’s sanctions on iran are hitting hezbollah hard,disgust,"[[""hitting hezbollah hard""]]",hitting hezbollah hard,10,15,2
2749,bryce harper bats down frosty dc homecoming with home run,negative_surprise,"[[""bats down frosty dc homecoming with home run""]]",bats down frosty dc homecoming with home run,6,16,8
4468,leopard kills 2-year-old boy in kruger national park,sadness,"[[""2-year-old boy""]]",2-year-old boy,3,8,12
3422,un: 2 million somalis could die of starvation amid drought,sadness,"[[""2 million somalis could die of starvation amid drought""]]",2 million somalis could die of starvation amid drought,3,13,12
3187,new saudi law allows women to travel without male consent,positive_anticipation_including_optimism,"[[""women to travel without male consent""]]",women to travel without male consent,6,11,9
4271,someone yet again trying to vanish post criticizing new britain (conn.) volunteer commissioner ken haas,anger,"[[""someone yet again trying to vanish post criticizing new britain (conn.) volunteer commissioner ken haas""]]",someone yet again trying to vanish post criticizing new britain (conn.) volunteer commissioner ken haas,1,24,0
1519,"starting with a mexican charro suit, this police department hopes to better connect with latinos",positive_surprise,"[[""this police department hopes to better connect with latinos""]]",this police department hopes to better connect with latinos,12,22,10
4997,"'for real': high school football season begins this week with expectations, excitement",positive_anticipation_including_optimism,"[[""season begins this week with expectations, excitement""]]","season begins this week with expectations, excitement",9,16,9
1446,"in rwanda, we know all about dehumanizing language",disgust,"[[""we know all about dehumanizing language""]]",we know all about dehumanizing language,6,13,2
2442,uk police investigate 'dangerous and disturbing' salah chants,annoyance,"[[""'dangerous and disturbing' salah chants""]]",'dangerous and disturbing' salah chants,4,12,1
227,"nevada democrats pass bill to restore voting rights of 77,000 people",joy,"[[""pass bill to restore voting rights of 77,000 people""]]","pass bill to restore voting rights of 77,000 people",6,16,5
941,british royals meghan and prince harry’s instagram account has broken a record,positive_surprise,"[[""instagram account has broken a record""]]",instagram account has broken a record,14,21,10
1707,michael cohen claims he's given federal prosecutors new evidence of trump-related crimes,trust,"[[""claims he's given federal prosecutors new evidence of trump-related crimes"",""new evidence of trump-related crimes""]]",claims he's given federal prosecutors new evidence of trump-related crimes,6,20,14
2286,"house dem says dems must support abortion, gay marriage",anger,"[[""must support abortion, gay marriage""]]","must support abortion, gay marriage",6,11,0
3672,blue state dems push to expand salt tax break,negative_surprise,"[[""push to expand salt tax break""]]",push to expand salt tax break,5,10,8
3040,lawyers’ “billing judgment … demonstrates an extraordinary dedication to containment of cost …”,negative_anticipation_including_pessimism,"[[""billing judgment … demonstrates an extraordinary dedication to containment of cost …""]]",billing judgment … demonstrates an extraordinary dedication to containment of cost …,4,17,7
2044,fear of immigration raids looms as plans for ice ‘family operation’ move forward,fear,"[[""immigration raids looms as plans for ice ‘family operation’ move forward""]]",immigration raids looms as plans for ice ‘family operation’ move forward,3,16,3
3922,few sports are doing enough to protect athletes from brain damage,negative_anticipation_including_pessimism,"[[""protect athletes from brain damage"",""doing enough to protect athletes from brain damage""]]",protect athletes from brain damage,7,11,7
2405,fight in fla. over who gets tax cut savings after hurricane irma,annoyance,"[[""fight in fla. over who gets tax cut savings after hurricane irma"",""over who gets tax cut savings after hurricane irma""]]",fight in fla. over who gets tax cut savings after hurricane irma,1,15,1
2761,comedian ian cognito dropped dead in the middle of his act,negative_surprise,"[[""dropped dead in the middle of his act""]]",dropped dead in the middle of his act,7,14,8
2108,7-year-old killed after truck and horse-drawn carriage collided in missouri,sadness,"[[""killed after truck and horse-drawn carriage collided in missouri""]]",killed after truck and horse-drawn carriage collided in missouri,6,18,12
2800,"iran: us pressure on iran, venezuela threatens oil market",negative_surprise,"[[""oil market""]]",oil market,15,16,8
536,there’s a simple reason why so many people seem to have the same freckle,negative_surprise,"[[""many people""],[""seem to have the same freckle""]]",many people,9,10,8
4094,more than 100 indian children die from brain disease in 3 weeks,sadness,"[[""more than 100 indian children die from brain disease in 3 weeks""]]",more than 100 indian children die from brain disease in 3 weeks,1,13,12
3325,friday cat blogging – 21 june 2019,joy,"[[""friday cat blogging – 21 june 2019""]]",friday cat blogging – 21 june 2019,1,11,5
4791,a cross-atlantic plan to break capital’s control,positive_anticipation_including_optimism,"[[""break capital’s control""]]",break capital’s control,9,13,9
4016,a crying boy begged his father not to call the police on a black man. the father did it anyway,sadness,"[[""call the police on a black man""]]",call the police on a black man,9,15,12
757,joe biden: build 'james bond-style' guns that don't fire without dna match,fear,"[[""that don't fire without dna match""]]",that don't fire without dna match,15,23,3
750,it’s not just bieber: a totally non-comprehensive but important list of places instagram influencers have ruined,sadness,"[[""a totally non-comprehensive but important list of places instagram influencers have ruined""]]",a totally non-comprehensive but important list of places instagram influencers have ruined,10,26,12
1118,rep. ilhan omar slams 'bigoted' trump administration for barring pride flag from foreign embassies,disgust,"[[""barring pride flag from foreign embassies""]]",barring pride flag from foreign embassies,18,26,2
4621,"us sanctions to hit iran's metals industry, a major employer",negative_surprise,"[[""hit iran's metals industry, a major employer""]]","hit iran's metals industry, a major employer",4,14,8
4071,hundreds of students give final wave goodbye to grandmother who waved to them every morning,sadness,"[[""grandmother who waved to them every morning""]]",grandmother who waved to them every morning,9,15,12
1594,‘disrespectful.’ sophie turner addresses those game of thrones remake petitions,shame,"[[""‘disrespectful.’ sophie turner addresses those game of thrones remake petitions""]]",‘disrespectful.’ sophie turner addresses those game of thrones remake petitions,1,22,13
2278,far-left arsonists burn conservative activist’s dorm room at tulane university…the scoop,anger,"[[""conservative activist’s dorm room at tulane university…the scoop""]]",conservative activist’s dorm room at tulane university…the scoop,8,23,0
1961,66 minutes: the frantic race to save notre dame,fear,"[[""the frantic race to save notre dame""]]",the frantic race to save notre dame,4,12,3
2942,irish soldier gives up home to help family in need,positive_surprise,"[[""gives up home to help family in need""]]",gives up home to help family in need,5,12,10
737,impeaching trump shouldn’t mean abandoning other key battles,guilt,"[[""impeaching trump shouldn’t mean abandoning other key battles""]]",impeaching trump shouldn’t mean abandoning other key battles,1,13,4
836,tear down the foreign-policy glass ceiling!,anger,"[[""the foreign-policy glass ceiling!""]]",the foreign-policy glass ceiling!,3,9,0
815,"rep. clyburn disappointed by kamala harris, believed it was 'the year of the black woman'",negative_surprise,"[[""believed it was \\""the year of the black woman\\""""]]",believed it was 'the year of the black woman',16,26,8
2531,jon stewart blasts lawmakers in hearing for sept. 11 victim compensation fund,anger,"[[""sept. 11 victim compensation fund""]]",sept. 11 victim compensation fund,12,18,0
3783,today’s back pages: stokes catch gives england a flying start in cricket world cup,positive_surprise,"[[""today’s back pages: stokes catch gives england a flying start in cricket world cup""]]",today’s back pages: stokes catch gives england a flying start in cricket world cup,1,21,10
4411,hundreds of children in pakistan have been infected with hiv. used needles could be to blame.,negative_anticipation_including_pessimism,"[[""used needles could be to""]]",used needles could be to,15,19,7
2427,"sanders calls barr's handling of mueller probe 'outrageous,' stops short of calling for resignation",disgust,"[[""stops short of calling for resignation""]]",stops short of calling for resignation,19,24,2
