,headline,dominant_emotion,cause,cause_span,start_index,end_index
4956,clinton lawyer testimony to judicial watch contradicts what she told fbi about what she knew about hillary’s private email use,negative_surprise,"[[""what she told fbi about what she knew about hillary’s private email use""]]",what she told fbi about what she knew about hillary’s private email use,13,29
2220,"global meat-eating is on the rise, bringing surprising benefits",positive_surprise,"[[""bringing surprising benefits""]]",bringing surprising benefits,10,12
3623,today’s back pages: oh nou! united blown away by a barcelona and messi masterclass,negative_surprise,"[[""by a barcelona and messi masterclass""]]",by a barcelona and messi masterclass,14,24
4658,colorado caps insulin co-pays at $100 for insured residents,positive_surprise,"[[""colorado caps insulin co-pays at $100 for insured residents""]]",colorado caps insulin co-pays at $100 for insured residents,1,14
22,fbi’s leniency toward border vigilante contrasts with harsh treatment of “black identity extremist”,disgust,"[[""contrasts with harsh treatment of “black identity extremist”""]]",contrasts with harsh treatment of “black identity extremist”,13,24
241,8 grilling mistakes that will screw up your memorial day cookout,negative_surprise,"[[""that will screw up your memorial day cookout""]]",that will screw up your memorial day cookout,6,14
3991,china to close loophole on fentanyl after u.s. calls for opioid action,annoyance,"[[""calls for opioid action""]]",calls for opioid action,17,22
4762,people tell us how qanon destroyed their relationships,sadness,"[[""how qanon destroyed their relationships""]]",how qanon destroyed their relationships,4,10
145,tv networks are refusing to sell ads for anti-abortion movie 'unplanned',negative_surprise,"[[""to sell ads for anti-abortion movie 'unplanned'""]]",to sell ads for anti-abortion movie 'unplanned',6,19
111,police charge suspected christchurch mosque gunman with engaging in terrorism,guilt,"[[""engaging in terrorism""]]",engaging in terrorism,11,13
3414,trump pushes out head of largest immigration agency — and wants ken cuccinelli instead,anger,"[[""immigration agency — and wants ken cuccinelli instead""]]",immigration agency — and wants ken cuccinelli instead,8,19
1019,ilhan omar’s campaign finance/tax issues just shifted gears,trust,"[[""campaign finance/tax issues just shifted gears""]]",campaign finance/tax issues just shifted gears,7,14
4447,warren and sanders refuse to cozy up to wall street donors,fear,"[[""refuse to cozy up to wall street donors""]]",refuse to cozy up to wall street donors,6,14
1101,pompeo: paris climate deal ‘didn’t change a thing’,disgust,"[[""deal ‘didn’t change a thing’""]]",deal ‘didn’t change a thing’,9,17
4982,robotic hacks: cnners sound awfully similar bashing trump’s ‘politics of hate’ on baltimore,disgust,"[[""cnners sound awfully similar bashing trump’s ‘politics of hate’ on baltimore""]]",cnners sound awfully similar bashing trump’s ‘politics of hate’ on baltimore,5,28
2109,"a 6-year-old was swept out to sea, and a group of brothers dove in after her",sadness,"[[""dove in after her""]]",dove in after her,18,21
632,‘we hope it won’t end up being a dud’: jerry nadler’s attempted explanation for why mueller is testifying spells desperation,fear,"[[""why mueller is testifying spells desperation""]]",why mueller is testifying spells desperation,25,33
4126,"sri lanka troops raid militants linked to bombings, find 15 bodies in house",negative_surprise,"[[""linked to bombings, find 15 bodies in house""]]","linked to bombings, find 15 bodies in house",8,16
3735,"megan rapinoe shares a great idea for boosting women’s pay, and it involves capitalism",positive_anticipation_including_optimism,"[[""for boosting women’s pay, and it involves capitalism""]]","for boosting women’s pay, and it involves capitalism",10,21
4926,encounters: max greenfield of ‘the neighborhood’ takes his daughter out for ice cream,joy,"[[""takes his daughter out for ice cream""]]",takes his daughter out for ice cream,12,18
4324,everything we know about the 2019 iphone,positive_surprise,"[[""the 2019 iphone""]]",the 2019 iphone,5,8
247,abortion rights are more popular than you think,negative_anticipation_including_pessimism,"[[""abortion rights are more popular than you think""]]",abortion rights are more popular than you think,1,8
3710,"grand parc, bordeaux review – a rush of light, air and views",positive_surprise,"[[""a rush of light, air and views"",""bordeaux review – a rush of light, air and views""]]","a rush of light, air and views",11,18
1754,"strike paralyzes haiti, protesters demand president's ouster",negative_surprise,"[[""protesters demand president's ouster""]]",protesters demand president's ouster,8,14
3419,two boys put pokemon hunting on hold to help struggling elderly man,positive_surprise,"[[""hold to help struggling elderly man""]]",hold to help struggling elderly man,9,14
2480,woman in viral video who licked carton of ice cream and put it back could go to jail,disgust,"[[""put it back""],[""licked carton of ice""]]",put it back,13,15
2684,chris matthews: obama presidency 'so thrilling' --- it’s 'still thrilling to me',joy,"[[""thrilling to""],[""thrilling""],[""presidency""]]",thrilling to,24,26
438,"help! i found child porn on my fiancé’s computer, but i’m afraid to report him.",fear,"[[""but i’m afraid to report him.""]]",but i’m afraid to report him.,17,25
257,cher experiences brief moment of lucidity – questions democrats’ open border policy,positive_surprise,"[[""questions democrats’ open border policy""]]",questions democrats’ open border policy,12,18
4483,baseball is the only sport that justifies optimism on opening day,joy,"[[""baseball is the only sport that justifies optimism""]]",baseball is the only sport that justifies optimism,1,11
1403,document of the week: when sweden wanted nukes,fear,"[[""when sweden wanted nukes""]]",when sweden wanted nukes,6,13
4792,"b-52, aircraft carrier in mideast over iran conduct exercise",shame,"[[""iran conduct exercise""]]",iran conduct exercise,12,15
4675,in praise of the wild overuse of slow motion on “chef’s table”,love_including_like,"[[""in praise of the wild overuse of slow motion""]]",in praise of the wild overuse of slow motion,1,10
3433,white supremacy must be undone — institution by institution,disgust,"[[""white supremacy must be undone""]]",white supremacy must be undone,1,6
4294,"trump slams mexico, democrats over spike in asylum seekers at border",disgust,"[[""asylum seekers at border""]]",asylum seekers at border,14,18
3294,"best 5g smartphones 2019: samsung galaxy s10 5g, oneplus 7 pro 5g and more",annoyance,"[[""samsung galaxy s10 5g, oneplus 7 pro 5g and more""]]","samsung galaxy s10 5g, oneplus 7 pro 5g and more",8,25
348,u.s. secretary of state mike pompeo says 'several' americans have been killed in the easter sunday b,sadness,"[[""'several' americans have been killed in the easter sunday b""]]",'several' americans have been killed in the easter sunday b,15,30
3654,"“sooner or later, dictators fall,” says eyewitness to sudan’s uprising",positive_surprise,"[[""says eyewitness to sudan’s uprising""]]",says eyewitness to sudan’s uprising,11,21
3147,elephant in 'bad mood' joins commute in chinese town,anger,"[[""joins commute in chinese town""]]",joins commute in chinese town,7,14
2876,the surprising new effect of trump’s immigration crackdown,negative_surprise,"[[""new effect of trump’s immigration crackdown""]]",new effect of trump’s immigration crackdown,3,12
3214,"san diego synagogue shooting was almost much worse, rabbi says",sadness,"[[""was almost much worse, rabbi says""]]","was almost much worse, rabbi says",7,13
2726,"winter sports face a double threat, from climate and demographic change",negative_anticipation_including_pessimism,"[[""climate and demographic change""]]",climate and demographic change,9,12
2447,utah karaoke and ax-throwing bars are using pool tables to circumvent stupid liquor laws,annoyance,"[[""ax-throwing bars are using pool tables to circumvent stupid liquor laws""]]",ax-throwing bars are using pool tables to circumvent stupid liquor laws,7,23
3171,justice for layleen polanco: community demands answers after trans black latinx woman died at rikers,negative_surprise,"[[""community demands answers after trans black latinx woman died at rikers""]]",community demands answers after trans black latinx woman died at rikers,9,23
3669,"august wti oil up 21 cents, or 0.4%, at $58.68/bbl ahead of nymex settlement",positive_surprise,"[[""up 21 cents, or 0.4%, at""]]","up 21 cents, or 0.4%, at",7,17
